,회사명,회계년도,자산총계,자본총계,부채총계,매출액증가율,영업활동현금흐름,보통주총배당금,상장일,종가,최대주주지분율,외국인지분율,소액주주주식수,우선주자본금,발행주식 보통주,ROA
101,한섬,2015,9.57471E+11,8.31368E+11,1.26103E+11,17.5,45800332000,6590878000,1996-07-03,40600,34.64,17.02,6534382,0,24630000,7.27
102,한섬,2016,1.03802E+12,8.80344E+11,1.5768E+11,15.44,18001231000,6590878000,1996-07-03,34850,34.64,21.15,5482902,0,24630000,5.66
103,한섬,2017,1.25227E+12,9.2547E+11,3.26797E+11,72.57,72763465000,7689358000,1996-07-03,31450,34.64,16.68,8971045,0,24630000,4.7
104,한섬,2018,1.21978E+12,9.94317E+11,2.25463E+11,5.74,2.0369E+11,8787838000,1996-07-03,36250,34.64,26.36,7732008,0,24630000,6.02
105,한섬,2019,1.32364E+12,1.04555E+12,2.7809E+11,-3.03,1.36406E+11,9886317000,1996-07-03,31550,34.64,30.75,7947234,0,24630000,6.7
106,한섬,2020,1.43854E+12,1.12603E+12,3.12512E+11,-5.07,1.49389E+11,9886317000,1996-07-03,30250,34.64,27.89,7775160,0,24630000,6.15
107,한섬,2021,1.55708E+12,1.24042E+12,3.16665E+11,0,1.72103E+11,13181756000,1996-07-03,35600,34.64,28.46,10574800,0,24630000,7.16
108,한화,2010,1.46244E+13,5.10617E+12,9.51822E+12,-51.78,-8.01296E+11,41447241000,1976-06-24,46700,36.04,15.58,36209283,2396470000,74958735,2.55
109,한화,2011,1.50297E+13,5.05883E+12,9.9709E+12,-15.8,6.6108E+11,31085431000,1976-06-24,33150,36.14,19.02,34948702,2396470000,74958735,0.63
110,한화,2012,1.58654E+13,5.36035E+12,1.0505E+13,-5.6,7.9463E+11,31085353000,1976-06-24,34200,36.04,23.84,32461019,2396470000,74958735,2.06
111,한화,2013,1.13E+14,1.0776E+13,1.03E+14,236.65,6.40417E+12,27631494000,1976-06-24,39200,36.04,29.74,36875791,2396470000,74958735,0.35
112,한화,2014,1.24E+14,1.21152E+13,1.12E+14,-3.27,4.57902E+12,34539368000,1976-06-24,31250,36.04,23.92,31450503,2396470000,74958735,-0.14
113,한화,2015,1.46E+14,1.36457E+13,1.32E+14,10.46,9.62065E+12,34539368000,1976-06-24,39400,36.04,25.98,34641395,2396470000,74958735,0.09
114,한화,2016,1.55E+14,1.42279E+13,1.41E+14,13.88,6.09729E+12,41447241000,1976-06-24,35050,36.05,24.51,51334946,1.14756E+11,74958735,0.86
115,한화,2017,1.6E+14,1.59647E+13,1.44E+14,6.97,5.13849E+12,41447241000,1976-06-24,41500,36.05,25.65,52742110,1.14756E+11,74958735,0.83
116,한화,2018,1.7E+14,1.6953E+13,1.53E+14,-3.3,2.7492E+12,48355114000,1976-06-24,31350,36.06,21.14,37620828,1.14756E+11,74958735,0.48
117,한화,2019,1.82E+14,1.8264E+13,1.64E+14,3.43,2.51792E+12,48355114000,1976-06-24,25000,38.09,17.9,36076445,1.14756E+11,74958735,0.13
118,한화,2020,1.91E+14,1.85072E+13,1.73E+14,1.02,3.44293E+12,48229106000,1976-06-24,28300,38.14,16.63,30617029,1.14756E+11,74958735,0.4
119,한화,2021,2.02E+14,2.10473E+13,1.81E+14,3.75,7.22812E+12,51515893000,1976-06-24,31400,43.62,14.72,32820290,1.14756E+11,74958735,1.1
120,현대백화점,2010,3.91664E+12,2.44695E+12,1.46969E+12,-52.96,4.53109E+11,13577736000,2002-11-25,139500,37.41,48.78,11875139,0,22711722,8.92
121,현대백화점,2011,4.72006E+12,2.89239E+12,1.82767E+12,13.26,3.46923E+11,14973000000,2002-11-25,163000,36.2,43.71,11094366,0,23402441,9.14
122,현대백화점,2012,5.40008E+12,3.23654E+12,2.16354E+12,5.62,4.31781E+11,14973000000,2002-11-25,159000,36.16,36.97,10664170,0,23402441,7.2
123,현대백화점,2013,5.60071E+12,3.5461E+12,2.0546E+12,0.91,3.46347E+11,14972871000,2002-11-25,161000,36.15,41.64,10872333,0,23402441,6.14
124,현대백화점,2014,5.68392E+12,3.78897E+12,1.89495E+12,1.18,3.98516E+11,16124630000,2002-11-25,123000,36.08,34.04,11855289,0,23402441,5.16
125,현대백화점,2015,6.16085E+12,4.03088E+12,2.12997E+12,6.77,4.01136E+11,15953830000,2002-11-25,126500,36.08,33.76,11525870,0,23402441,4.73
126,현대백화점,2016,6.58726E+12,4.31059E+12,2.27667E+12,10.55,4.42017E+11,15904830000,2002-11-25,109000,36.08,34.45,10537738,0,23402441,5.04
127,현대백화점,2017,6.77728E+12,4.61773E+12,2.15955E+12,0.89,4.37234E+11,18045749000,2002-11-25,104500,36.08,25.42,11691849,0,23402441,4.52
128,현대백화점,2018,6.98856E+12,4.82909E+12,2.15947E+12,0.76,4.35325E+11,20301467000,2002-11-25,90400,36.08,30.26,11909202,0,23402441,4.18
129,현대백화점,2019,7.62309E+12,4.97929E+12,2.64381E+12,18.08,3.77485E+11,22323186000,2002-11-25,83100,36.08,29.13,11894605,0,23402441,3.33
130,현대백화점,2020,8.70703E+12,5.03229E+12,3.67474E+12,3.37,2.59368E+11,22089186000,2002-11-25,71400,36.08,13.65,11911170,0,23402441,1.29
131,현대백화점,2021,8.9692E+12,5.22563E+12,3.74357E+12,57.16,5.00164E+11,24040705000,2002-11-25,75100,36.08,17.98,11176425,0,23402441,2.64
132,고려산업,2010,1.19381E+11,51833580000,67547046000,0,-1891426000,473789000,1991-01-14,3375,51.6,0,1444846,0,4987885,5.25
133,고려산업,2011,1.24894E+11,56065197000,68829182000,0,4450090000,724000000,1991-01-14,3415,53.4,0.03,1357906,0,4987885,3.5
134,고려산업,2012,1.4832E+11,62084126000,86236239000,8.05,-8456112000,724000000,1991-01-14,5490,53.4,0.29,1377327,0,4987885,5.69
135,고려산업,2013,1.48378E+11,66536454000,81841051000,5.9,4484188000,603486000,1991-01-14,1150,53.4,0.15,7601615,0,24939425,3.2
136,고려산업,2014,1.56033E+11,76117815000,79915241000,-8.55,16939311000,1086274000,1991-01-14,1940,53.4,2.08,9385545,0,24939425,5.94
137,고려산업,2015,1.59959E+11,79342019000,80617321000,0.18,9550784000,724183000,1991-01-14,2055,53.4,1.18,9362512,0,24939425,3.42
138,고려산업,2016,1.67844E+11,85020283000,82823473000,-7.09,15777188000,724183000,1991-01-14,6670,51.2,0.93,11035818,0,24939425,4.18
139,고려산업,2017,1.83124E+11,88758115000,94365948000,1.3,1003574000,863500000,1991-01-14,2690,47.4,1.4,11569214,0,24939425,2.89
140,고려산업,2018,2.13623E+11,92389590000,1.21233E+11,-9.22,-5720631000,740143000,1991-01-14,2170,47.4,2.13,11351780,0,24939425,1.87
