,roa,cashflow,g,lvrg,주식수익률,시장가치대장부가치비율,주식수익률변동성,roa변동성,외국인지분율,dps,시가배당률,dy변화,price
137,4.23,0.060587445,2.01,0.192440678,0.244186047,0.919508993,0.060198689,0.705147739,1.06,109,2.04,-0.148660274,5350
138,2.25,-0.056326756,21.2,0.173222058,-0.313084112,0.640153348,0.036771598,0.502128802,1.92,106,2.88,0.259411639,3675
139,3.99,0.114173067,-1.1,0.182553992,0.036734694,0.654059259,0.046556555,1.507890359,1.91,103,2.70,-0.027249642,3810
140,3.25,0.036236148,-12.16,0.194225533,-0.066929134,0.604595132,0.028219347,1.080555413,2.18,102,2.87,0.051155163,3555
141,2.07,0.022381395,2.24,0.201155646,-0.016877637,0.590331138,0.037944201,0.873231546,1.97,100,2.86,0.013037994,3495
142,7.04,0.090314342,34.84,0.207488616,0.459227468,0.79826087,0.117257149,0.968366322,1.37,120,2.35,-0.141706838,5100
143,4.82,0.023940276,140.74,0.280539144,0.219325153,0.347519492,0.040213847,0.61991935,3.62,150,3.77,-0.160420293,3975
144,6.44,0.04418245,16.47,0.270342256,0.610062893,0.527536493,0.041228067,2.130070421,3.61,120,1.88,-0.504556011,6400
145,6.29,0.095121251,761.39,0.571087405,0.3,0.336525002,0.036456305,2.311622807,3.78,120,1.44,-0.165792255,8320
146,4.36,0.08404308,4.12,0.555547401,1.019230769,0.628453162,0.064729971,0.895153618,5.64,170,1.01,-0.193863317,16800
147,2.27,0.046949521,3.13,0.59763025,0.139880952,0.695466427,0.052865269,1.160014368,4.56,170,0.89,-0.061557893,19150
148,2.6,0.029078388,8.73,0.609476851,-0.462140992,0.355459135,0.0600872,2.01053061,4.97,170,1.65,0.337982811,10300
149,2.22,0.069907662,1.98,0.595166608,-0.033980583,0.336005896,0.033308966,1.123580586,5.29,180,1.81,0.058624843,9950
150,1.73,0.054258649,0.42,0.583668937,-0.210050251,0.260205925,0.029025184,0.206478409,5.39,190,2.42,0.196456068,7860
151,5,0.068385181,4.55,0.582467286,-0.142493639,0.201982149,0.031135362,0.436157464,4.95,200,2.97,0.149125544,6740
152,5.53,0.047138712,5.68,0.566695859,0.513353116,0.278754223,0.084632136,1.763585363,5.82,220,2.16,-0.228194067,10200
153,4.27,0.006414603,12.03,0.588777443,-0.049019608,0.235710219,0.044702615,2.058065435,4,240,2.47,0.093582566,9700
154,10.12,0.085685928,25.46,0.227511682,0.06640625,1.448952156,0.070212227,2.685225006,0.38,323,2.94,-0.130983621,10997
155,5.26,0.093150594,-1.53,0.178226981,-0.316483516,0.964545284,0.049019447,1.878572153,0.94,221,2.94,0,7517
156,12.43,0.067857434,4.24,0.263886258,0.098606645,0.901895451,0.054178438,2.663756746,0.75,202,2.45,-0.133167954,8258
157,6.93,0.060050785,5.03,0.2792694,-0.064390244,0.781356701,0.023837547,3.659795076,0.52,202,2.61,0.048236301,7726
158,7.7,0.116585397,-4.44,0.20232723,0.355578728,0.983684637,0.064964301,3.751617429,0.54,211,1.93,-0.212124156,10936
159,7.08,0.066236637,5.28,0.232488754,-0.026923077,0.888430107,0.034873587,2.978137002,1.05,211,1.98,0.020339684,10641
160,6.53,0.079107753,9.11,0.125096708,-0.027667984,0.776678117,0.025170185,0.408207464,1.22,233,2.20,0.071227509,10609
161,8.33,0.069347558,11.03,0.110177008,0.044715447,0.796883947,0.048611869,0.585348899,1.87,297,2.34,0.039821494,12689
162,4.33,0.071147403,7.82,0.198704924,0.163424125,0.875413131,0.053579034,0.922406273,3.9,297,2.01,-0.101032225,14763
163,5.71,0.055814247,0.73,0.205181499,1.535117057,2.113256483,0.13669416,2.00333056,0.62,298,0.79,-0.519724459,37610
164,5.21,0.058077554,10.9,0.171243442,-0.427440633,1.155249659,0.069527501,2.031780828,0.76,300,1.38,0.284884868,21700
