번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
"1628","246960","이노테라피","KOSDAQ","2021","12","제약","0.3",,"500",,,,"5044184",
"1629","088390","이녹스","KOSDAQ","2021","12","운송장비·부품","0.36",,"500",,,,"9350844",
"1630","272290","이녹스첨단소재","KOSDAQ","2021","12","IT부품","0.36",,"500","350","0.8","8.573","19641658","6874580300"
"1631","053350","이니텍","KOSDAQ","2021","12","소프트웨어","0.32",,"500","20","0.4","7.312","19790916","387832720"
"1632","041520","이라이콤","KOSDAQ","2021","12","IT부품","0.36",,"500","300","3.3","147.547","12188730","3656218800"
"1633","264850","이랜시스","KOSDAQ","2021","12","일반전기전자","0.23",,"100","45","1.49","20.603","29025672","1286475480"
"1634","054210","이랜텍","KOSDAQ","2021","12","IT부품","0.36",,"500","100","0.87","8.449","25291210","2866579300"
"1635","164060","이루다","KOSDAQ","2021","12","의료·정밀기기","0.32",,"500",,,,"7815060",
"1636","065440","이루온","KOSDAQ","2021","12","소프트웨어","0.32",,"500",,,,"27275020",
"1637","139480","이마트","KOSPI","2021","12","유통업","1.59",,"5000","2000","1.3","3.497","27875819","55576710000"
"1638","115610","이미지스","KOSDAQ","2021","12","반도체","0.42",,"500",,,,"15328276",
"1639","349720","이베스트스팩5호","KOSDAQ","2021","12","금융","1.34",,"100",,,,"3620000",
"1640","078020","이베스트투자증권","KOSDAQ","2021","12","금융","1.34",,"5000","600","6.8","23.299","55481190","37472017375"
"1641","131400","이브이첨단소재","KOSDAQ","2021","12","IT부품","0.36",,"500",,,,"46794262",
"1642","208850","이비테크","KONEX","2021","12","-",,,"1000",,,,"2820250",
"1643","351330","이삭엔지니어링","KOSDAQ","2021","12","컴퓨터서비스","0.55",,"500",,,,"8288520",
"1644","080010","이상네트웍스","KOSDAQ","2021","12","인터넷","0.89",,"500","100","1.4","11.671","9015000","891657600"
"1645","379390","이성씨엔아이","KONEX","2021","12","-",,,"500",,,,"2841460",
"1646","086890","이수앱지스","KOSDAQ","2021","12","제약","0.3",,"500",,,,"33182668",
